=== Compiling ===
Compiled: /pscratch/sd/a/anirudh6/cs5220/project/mlp

=== Run info ===
date:      Sat Apr 18 11:37:47 AM PDT 2026
host:      login31
ranks:     1 (single-node)
binary:    /pscratch/sd/a/anirudh6/cs5220/project/mlp
outfile:   /pscratch/sd/a/anirudh6/cs5220/project/results/mlp_baseline_20260418_113745.out

=== Training ===
Loading MNIST...
Loaded.

epoch,loss,test_acc,fwd_s,bwd_s,sgd_s,epoch_s,grad_norm
1,0.573972,0.9236,68.704,210.833,0.559522,280.343,0.995848
2,0.222533,0.9469,68.9064,211.226,0.536023,280.703,0.712689
3,0.165568,0.9549,69.1719,211.395,0.535657,281.132,0.821229
4,0.128832,0.9634,68.075,208.706,0.565846,277.375,0.79662
5,0.105059,0.9684,67.4886,207.893,0.556411,275.966,0.779038
6,0.0870854,0.969,68.1792,209.358,0.560096,278.125,0.860075
7,0.0739065,0.9731,68.2411,208.885,0.562479,277.716,0.345661
8,0.0640616,0.9739,67.2564,206.302,0.545655,274.132,0.901585
9,0.054648,0.975,68.059,208.525,0.553004,277.164,0.521006
10,0.0461052,0.9768,77.1378,225.61,0.669572,303.446,0.59877
11,0.0403205,0.9766,77.6692,227.871,0.694084,306.266,0.706686
12,0.0353141,0.9796,73.4263,219.833,0.739424,294.159,0.830117
13,0.0298801,0.9783,68.166,209.685,0.561814,278.464,0.758611
14,0.02641,0.9794,67.5869,208.163,0.554278,276.332,0.481337
15,0.022412,0.9792,67.7313,208.04,0.553663,276.353,0.437801

=== Done ===
