bytes,half_roundtrip_s,roundtrip_s,bandwidth_GBps,reps
1,3.517e-06,7.034e-06,0.000142167,100
2,3.517e-06,7.034e-06,0.000284333,100
4,3.537e-06,7.074e-06,0.000565451,100
8,3.507e-06,7.014e-06,0.00114058,100
16,3.5165e-06,7.033e-06,0.00227499,100
32,3.4965e-06,6.993e-06,0.004576,100
64,3.517e-06,7.034e-06,0.00909866,100
128,4.0575e-06,8.115e-06,0.0157733,100
256,4.2985e-06,8.597e-06,0.0297778,100
512,4.273e-06,8.546e-06,0.0599111,100
1024,4.3485e-06,8.697e-06,0.117742,100
4096,4.639e-06,9.278e-06,0.441474,100
16384,5.781e-06,1.1562e-05,1.41706,100
65536,1.42525e-05,2.8505e-05,2.29911,100
262144,2.33905e-05,4.6781e-05,5.60364,100
1048576,5.5748e-05,0.000111496,9.40461,100
2097152,9.87815e-05,0.000197563,10.6151,100
4194304,0.00018554,0.000371079,11.303,100
8388608,0.000365724,0.000731448,11.4685,100
11665160,0.000502424,0.00100485,11.6089,100
16777216,0.000723953,0.00144791,11.5872,100
33554432,0.00150819,0.00301639,11.124,100
67108864,0.0031335,0.006267,10.7083,100
